flight_id,tow
248753821,70586.33
248753822,214169.38
248754498,223734.84
248763650,64381.62
248763651,48936.258
248757623,60219.43
248763603,63935.28
248755068,56161.375
248754229,52814.016
248754231,46489.125
248754909,62893.293
248754894,56467.617
248754384,30463.646
248754751,53761.527
248754824,63397.445
248755682,45159.805
248755689,62010.652
248753761,61939.555
248763792,58647.547
248762986,222404.62
248762991,69337.87
248762376,52324.09
248761422,28687.602
248763619,78366.36
248761624,183608.9
248761627,54278.746
248761640,65073.445
248750710,64403.85
248753679,58191.695
248754397,57198.777
248759534,62489.758
248762961,56192.645
248753208,51366.797
248751710,28926.588
248765798,40349.902
248750971,79494.39
248755488,182760.02
248753295,67043.2
248752828,54147.516
248751332,66906.64
248753258,50694.43
248753261,51466.977
248753264,59997.5
248753265,61864.344
248753311,52274.703
248751996,55473.484
248755425,83315.21
248752883,68736.164
248765927,57341.07
248762752,61560.863
248762652,58983.086
248751084,68931.984
248755344,50548.027
248765807,38645.1
248765000,53887.562
248762843,62144.3
248761148,51665.445
248761164,58602.758
248752845,37742.48
248761172,65634.36
248751439,62862.46
248752851,59693.9
248752183,61803.61
248750834,65555.09
248765225,78528.53
248765785,58130.734
248751880,63736.78
248750944,72838.31
248750874,66871.97
248752304,62891.516
248753854,61118.438
248763348,76937.55
248763352,58959.008
248762706,62845.297
248761901,70972.88
248761913,28524.422
248764407,49731.016
248753620,181732.78
248765929,30577.777
248765932,224565.0
248765940,52476.293
248752312,49059.984
248750690,78085.766
248752016,57050.617
248752150,181116.84
248752160,61903.863
248752038,42412.027
248752732,41263.72
248751339,66538.64
248751342,69883.38
248759461,315218.22
248761940,56048.445
248761947,29595.838
248751044,61670.86
248754284,61088.766
248761818,31970.74
248765178,59819.188
248765322,64508.79
248764642,79213.17
248751470,47748.848
248750808,60040.203
248752110,68937.07
248751237,52352.297
248756734,61575.867
248757437,77465.72
248759410,77110.41
248758277,63057.195
248759968,54685.453
248758745,60496.812
248753765,70024.75
248762592,58941.32
248754577,34018.633
248762452,62146.914
248762079,80877.375
248764657,66048.51
248765234,62128.867
248764565,194341.0
248764894,61467.586
248764896,58608.15
248765339,69343.82
248764832,59669.152
248757006,39552.29
248764599,219769.75
248758637,74928.0
248764611,222491.31
248765344,51231.836
248762113,38481.77
248756669,55860.984
248759980,56936.348
248758754,58218.7
248759220,54087.367
248756199,30700.691
248756913,81359.234
248761377,62969.695
248756768,70772.17
248761775,78973.2
248754755,53071.33
248765556,76619.734
248765567,59885.15
248765571,75542.016
248765240,54921.445
248764628,86999.68
248763560,64999.883
248763564,62385.75
248764277,53223.61
248759377,87660.55
248759397,144003.44
248757454,278225.53
248758800,56649.375
248758802,25944.285
248756715,60270.83
248761372,68028.7
248758592,56074.65
248765957,57904.285
248764475,46955.625
248757844,67284.08
248757898,60979.195
248758552,61315.18
248757186,31094.59
248758348,57547.44
248758350,60091.73
248752721,60768.574
248759128,31758.781
248761226,222367.78
248760338,159161.73
248760306,208416.9
248759068,68310.0
248761054,56777.066
248757753,227460.44
248757490,231416.83
248757494,56598.79
248759893,66398.83
248759243,50270.97
248756214,62924.055
248757112,284415.34
248756982,72205.21
248756530,44348.594
248754610,48053.85
248757323,62833.273
248753903,71505.25
248762523,71295.5
248760820,79853.63
248759145,38204.5
248758919,58843.285
248763471,48560.68
248763476,59087.613
248760903,63511.664
248758839,58811.6
248760758,159844.19
248759348,58013.336
248756500,61038.484
248756537,64294.582
248756344,48405.85
248758561,70550.484
248763479,72347.62
248764167,210007.06
248759662,77750.4
248753607,59535.49
248753608,59609.57
